Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",INGRESOS CORRIENTES DE LA NACION,101693146636000.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",INGRESOS CORRIENTES DE LA NACION,518854000000.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,5000000000000.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,13321969220537.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,531858480719.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,5400000000000.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,28008000000000.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,7872874645367.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,317488885335.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RECURSOS DE CAPITAL DE LA NACION,172714187030.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",RENTAS PARAFISCALES,1211443724583.0,,,Nación,Nación,2013
"I - INGRESOS DEL PRESUPUESTO NACIONAL
",FONDOS ESPECIALES,7131567759851.0,,,Nación,Nación,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",B-RECURSOS DE CAPITAL,30000000000.0,209,2,Presidencia de la república,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
",OTROS INGRESOS,15500000000.0,303,3,Planeación,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,2013
"II - INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS
","TASAS, MULTAS Y CONTRIBUCIONES",84100000000.0,324,3,Planeación,Superintendencia de servicios públicos domiciliarios,2013
